customer_id,full_name,email,phone_number,date_of_birth,city,state,gender,age,join_date
0,Benjamin Holmes,invalid_email.com,(163)498-7943x48321,07/11/1925,Mayberg,Maryland,,-5,
1,Julie Anderson,hgilbert@hartman.org,622-365-1632,1962-11-06,Langtown,Texas,Other,51,2023-05-27
2,Michael Kelley,carriesanchez@stokes.com,+1-576-096-7233x4755,1930-06-30,Samanthaburgh,Tennessee,Female,28,2023-04-04
3,Patricia Davis,ngallagher@yahoo.com,893-321-8570,1920-03-14,North Bryan,Wisconsin,Male,43,2022-08-03
4,Stephanie Fernandez,grahampatricia@hotmail.com,+1-647-997-8474x9875,2009-05-19,West Chase,Washington,Female,31,2025-09-15
5,Dana Mata,coopererin@gmail.com,804-562-4994x6856,2015-05-01,East Patricia,Oregon,Female,33,2020-11-13
6,Joshua Thornton,rlewis@adams.com,295.868.5581x8178,1952-02-22,Chambersberg,Pennsylvania,Female,27,2023-03-31
7,Sergio Coleman,smithmarcus@yahoo.com,134-384-7352x4942,1968-09-14,Port Ritaburgh,Tennessee,Female,77,2022-09-23
8,Nicole Lawrence,charles82@vasquez-callahan.info,001-385-764-8967x512,1953-03-30,West Christina,New Hampshire,Female,25,2025-03-23
9,Daniel Lopez,ooneal@payne.com,756.247.3243x939,1922-06-15,Woodhaven,New Mexico,Male,45,2021-12-15
5,Michael Scott,nicholascollins@yahoo.com,689.964.8695x646,2025-07-14,East Karen,Michigan,,62,2021-12-06
11,James Merritt,ehawkins@cox.com,1475619657,2005-01-01,Brandyhaven,Vermont,,24,2020-09-13
12,Gloria Scott,cassie44@gmail.com,664-724-1122x119,1991-03-28,South Chadborough,New Jersey,Male,20,2021-10-10
13,Diane Petersen,rileyjennifer@gmail.com,439-571-6602x07649,2015-04-06,Lake Timothychester,Nevada,Other,25,2025-09-19
14,Shelley Roberts,kevingomez@hotmail.com,669.453.9040,1941-02-20,Cynthiamouth,Delaware,Other,46,2025-10-05
15,Kelli Harris,jamesmitchell@gmail.com,277.824.0842,1950-11-03,East Stevenfort,Nebraska,Male,32,2021-01-02
